time	cusn	quan	pric	totr	tots	dayw	date	type	ethn	size	cash	estb	qual	loct	stor	phon
520	151	65	0.75	11875	9655	4	416	w	s	m	c	s	1	1	1	0
440	152	300	0.65	8160	5060	1	427	w		m	c		3			0
730	153	100	0.75	3900	6050	5	417	w	a	m	c	s	4	1	1	0
701	154	50	1.25	6080	4780	4	507	w	a	m	c	s	3	1	1	0
530	155	60	0.9	1182	480	3	429	kw			0	s	1	1	1	0
620	156	100	0.5	335	185	4	430	kw			c	s	4		1	0
501	157	600	0.75	10700	10494	2	421	w	a	m	c	s	1	2	1	0
604	158	200	1.25	6080	4780	4	507	w	a	m	c	s	3		1	0
720	158	120	0.9	3940	4118	3	422	w	a	s	c	s	1		1	0
545	159	400	0.25	11370	8520	5	501	w	a	m	c	s	4	2	1	0
500	160	600	0.6	15940	15455	5	424	w	a	lm	c	s	3	2	1	0
715	161	75	0.75	2390	945	5	424	kw	s		c	s	1	1	1	0
	162	60	1.75	4020	3420	5	508	w	s	m	0	s	3	2	1	0
515	162	60	1.25	6080	4780	4	507	w	s	m	0	s	3	2	1	0
515	162	60	0.9	1320	1290	2	505	w	s	m	0	s	3	2	1	0
647	163	200	0.3	1610	6260	1	504	w	a	s	c	s	5	2	1	0
630	164	180	0.85	3940	4118	3	422	w	a	s	c	s	1	1	1	0
710	164	60	0.75	10700	10494	2	421	w	a	s	c	s	3	1	1	0
600	165	180	0.75	10700	10494	2	421	w	a	m	c	s	1	1	1	0
645	166	150	0.3	1610	6260	1	504	w	a	lm	c	s	5	1	1	0
645	166	150	0.3	7694	9050	4	430	w	a	l	c	s	5	1	1	0
646	166	200	0.3	1610	6260	1	504	w	a	s	c	s	5	1	1	0
755	166	100	0.4	6963	5785	3	429	w	a	l	c	s	3	1	1	0
800	166	110	0.65	200	2260	2	414	w	a	m	c	s	3	1	1	0
645	167	60	0.6	15940	15455	5	424	w	s	m	c		3			0
620	168	330	0.6	85	149	1	504	kw	s		c	s	4	1	1	0
745	169	150	0.75	1625	1376	5	417	kw	a		c	s	5		1	0
630	170	60	0.75	3900	6050	5	417	w	s	m	c	s	2	1	1	0
	171	60	0.75	2100	1825	5	501	kw			0	sh				0
339	172	60	1.5	875	1050	4	507	kw	a		c	s	3	1	1	0
639	173	100	0.3	7694	9050	4	430	w	a	l	c	s	5	1	1	0
720	174	50	0.3	7694	9050	4	430	w	a	l	c		5			0
	175	25	1.25	1460	670	4	416	kw			0					0
417	176	60	0.75	7049	5535	1	413	w	b	m	c	f	3	1	0	0
435	176	50	0.85	15940	15455	5	424	w	b	lm	c	f	3		0	0
505	176	100	0.4	11370	8520	5	501	w	b	m	c	f	4	1	0	0
507	176	60	0.65	8160	5060	1	427	w	b	m	c	f	3	1	0	0
535	176	60	0.9	1320	1290	2	505	w	b	m	c	f	3	1	0	0
635	177	100	0.65	15940	15455	5	424	w	a	lm	c	f	3		0	0
730	178	35	0.5	7049	5535	1	413	w			c					0
403	179	120	0.5	7694	9050	4	430	w	s	m	0	s	2	3	1	0
	180	30	1	1676	3300	2	428	w			0					0
415	181	50	0.3	7694	9050	4	430	w	b	l	c		5	1		0
	182	60	0.7	11875	9655	4	416	w		m	0		1			0
756	183	50	0.8	1460	670	4	416	kw	b		c		4			0
616	184	200	1	1625	1376	5	417	kw	a		c	s	3	1	1	0
545	184	180	0.9	3940	4118	3	422	w	a	s	c	s	1	1	1	0
600	184	200	0.5	2100	1825	5	501	kw	a		c	s	5	1	1	0
620	184	100	0.75	2390	945	5	424	kw	a		c	s	4	1	1	0
711	185	50	0.8	3900	6050	5	417	w	s	m	c		4			0
	186	60		11875	9655	4	416	w								0
	186	360		7694	9050	4	430	w								0
	186	300		1610	6260	1	504	w								0
	186	100		11370	8520	5	501	w								0
445	187	50	0.65	1676	3300	2	428	w	s	m	c	s	1	2	1	0
530	187	50	1.1	3940	4118	3	422	w	s	lm	c	s	1	2	1	0
420	188	300	0.8	3940	4118	3	422	w	s	s	0		1			0
421	189	60	0.5	7694	9050	4	430	w	s	m	0	s	2	2	1	0
425	189	50	0.85	15940	15455	5	424	w	s	m	0	s	1	2	1	0
435	189	100	1	6570	6470	4	423	w	s	m	0	s	1	2	1	0
558	189	50	0.6	6963	5785	3	429	w	s	lm	0	s	1	2	1	0
540	190	240	0.75	3900	6050	5	417	w	s	m	0	s	2	1	1	0
545	190	200	0.6	15940	15455	5	424	w	s	lm	0	s	3	1	1	0
610	190	60	0.75	200	2260	2	414	w	s	m	0	s	3	1	1	0
610	190	120	0.6	1676	3300	2	428	w	s	m	0	s	3	1	1	0
611	190	60	0.5	7694	9050	4	430	w	s	m	0	s	2	1	1	0
630	190	120	0.75	7049	5535	1	413	w	s	m	0	s	3	1	1	0
705	190	120	0.75	11875	9655	4	416	w	s	m	0	s	1	1	1	0
737	190	60	0.4	11370	8520	5	501	w	s	m	0	s	3	1	1	0
746	190	200	0.75	2390	945	5	424	kw	s		0	s	1	1	1	0
540	191	480	0.6	1676	3300	2	428	w	b	m	c	f	3	1	0	0
900	192	600	0.45	15940	15455	5	424	w		lm	0	sh	4			0
350	193	100	1	6570	6470	4	423	w	s	lm	0	s	3	1	1	0
415	193	60	0.4	11370	8520	5	501	w	s	m	0	s	3	1	1	0
450	193	65	0.75	11875	9655	4	416	w	s	m	0	s	1	1	1	0
400	193	60	1	0	60	2	414	kw	s		0	s	3	1	1	0
700	194	600	0.5	8160	5060	1	427	w	a	m	c	f	3	1	0	0
800	194	600	0.55	7049	5535	1	413	w	a	s	c	f	3	1	0	0
820	194	600	0.35	6963	5785	3	429	w	a	m	c	f	3	1	0	0
830	194	840	0.5	15940	15455	5	424	w	a	m	c	f	3	1	0	0
830	194	600	0.65	11875	9655	4	416	w	a	m	c	f	1	1	0	0
845	194	600	0.25	11370	8520	5	501	w	a	m	c	f	4	1	0	0
335	195	130	0.75	11875	9655	4	416	w	s	m	0	s	1	1	1	0
335	195	120	0.5	7694	9050	4	430	w	s	m	0	s	2	1	1	0
415	195	60	1.75	4020	3420	5	508	w	s	m	0	s	3	1	1	0
432	195	120	0.4	11370	8520	5	501	w	s	m	0	s	3	1	1	0
445	195	65	0.65	1676	3300	2	428	w	s	m	0	s	1	1	1	0
445	195	100	0.75	7049	5535	1	413	w	s	m	0	s	3	1	1	0
515	195	50	1.25	2305	1450	3	506	w	s	m	0	s	3	1	1	0
505	195	65	1.1	335	260	2	428	kw	s		0	s	1	1	1	0
730	196	160	0.3	1610	6260	1	504	w	b	lm	c	f	5	1	0	0
815	196	60	0.75	11875	9655	4	416	w	b	m	c	f	1	1	0	0
822	196	60	0.5	15940	15455	5	424	w	b	m	c	f	2	1	0	0
830	196	60	0.4	6963	5785	3	429	w	b	m	c	f	3	1	0	0
740	197	60	0.6	8160	5060	1	427	w	b	m	c	s	3	1	1	0
445	198	180	0.75	10700	10494	2	421	w	s	m	c	s	1	2	1	1
	199	60	0.6	15940	15455	5	424	w			0					0
805	200	60	0.75	11875	9655	4	416	w	s	m	0	s	1	1	1	0
845	201	50	0.5	15940	15455	5	424	w	b	lm	c		4			0
	202	500	0.6	11875	9655	4	416	w		m	c		1			0
630	203	100	0.4	7694	9050	4	430	w	a	lm	c	s	4		1	0
530	204	150	0.3	7694	9050	4	430	w	a	l	c	sf	5	2		0
530	204	720	0.4	7694	9050	4	430	w	a	m	c	sf	1	2		0
520	205	130	0.6	1676	3300	2	428	w	a	m	c	s	1	1	1	0
600	205	1020	0.45	6963	5785	3	429	w	a	m	c	s	3	1	1	0
600	205	600	0.75	10700	10494	2	421	w	a	m	c	s	1	1	1	0
550	206	60	1.5	495	425	3	506	kw	a		c	s	3		1	0
602	206	60	1	985	540	2	421	kw	a		c	s	3		1	0
645	207	50	1.25	2305	1450	3	506	w	s	m	c	s	3	1	1	0
800	207	60	0.75	200	2260	2	414	w	s	m	c	s	3	1	1	0
512	208	110	0.65	15940	15455	5	424	w	s	m	c		3			0
445	209	960		10700	10494	2	421	w	s	s	0		3			0
545	210	60	0.6	15940	15455	5	424	w	s		0	s		1	1	0
600	210	120	0.75	200	2260	2	414	w	s	m	0	s	3	1	1	0
610	210	60	0.65	8160	5060	1	427	w	s	m	0	s	2	1	1	0
657	210	60	0.4	11370	8520	5	501	w	s	m	0	s	3	1	1	0
700	210	60	0.85	3940	4118	3	422	w	s	s	0	s	1	1	1	0
705	210	120	0.75	11875	9655	4	416	w	s	m	0	s	1	1	1	0
611	211	60	0.5	7694	9050	4	430	w	s	m	0	s	2	1	1	0
455	212	60	0.75	10700	10494	2	421	w	b	s	c	f	3		0	0
	213	50	0.75	15940	15455	5	424	w	s		0					0
335	213	120	0.7	10700	10494	2	421	w	s	m	0		1			0
615	213	120		1610	6260	1	504	w	s	m	0		3			0
410	214	150	0.6	2305	1450	3	506	w	b	lm	c	f	5	1	0	0
420	214	195	0.5	6963	5785	3	429	w	b	m	c	f	3	1	0	0
415	215	300	1.65	4020	3420	5	508	w	a	m	c	f	3	1	0	0
600	215	260	0.8	6570	6470	4	423	w	a	m	c	f	3	1	0	0
600	215	180	0.55	15940	15455	5	424	w	a		c	f		1	0	0
620	215	340	0.4	6963	5785	3	429	w	a	m	c	f	3	1	0	0
635	215	360	0.4	7694	9050	4	430	w	a	m	c	f	2	1	0	0
645	215	260	0.85	1320	1290	2	505	w	a	m	c	f	3	1	0	0
645	215	300	0.6	1676	3300	2	428	w	a	m	c	f	1	1	0	0
650	215	200	0.3	11370	8520	5	501	w	a	s	c	f	3	1	0	0
655	215	360	0.7	10700	10494	2	421	w	a	m	c	f	1	1	0	0
700	215	200	0.75	3900	6050	5	417	w	a	m	c	f	2	1	0	0
700	215	300	0.65	200	2260	2	414	w	a	m	c	f	3	1	0	0
700	215	300	0.85	3940	4118	3	422	w	a	s	c	f	1	1	0	0
700	215	300	0.6	8160	5060	1	427	w	a	m	c	f	3	1	0	0
700	215	300	1.15	2305	1450	3	506	w	a	m	c	f	3	1	0	0
701	215	300	1.25	6080	4780	4	507	w	a	m	c	f	3	1	0	0
705	215	360	0.65	11875	9655	4	416	w	a	m	c	f	1	1	0	0
715	215	360	0.65	7049	5535	1	413	w	a	m	c	f	3	1	0	0
516	216	50	0.3	7694	9050	4	430	w	b	l	c		5			0
615	217	200	0.85	6570	6470	4	423	w	s	m	0	s	1	1	1	0
630	217	300	0.75	10700	10494	2	421	w	s	m	0	s	1	1	1	0
645	217	300	0.85	3940	4118	3	422	w	s	s	0	s	1	1	1	0
700	217	480	0.55	15940	15455	5	424	w	s	m	0	s	2	1	1	0
800	218	60	0.5	15940	15455	5	424	w	b	m	c	s	2		1	0
550	219	200	0.25	11370	8520	5	501	w		m	c		4			0
342	220	180	0.65	1610	6260	1	504	w	s	m	0	s	3	3	1	0
625	221	60	0.75	10700	10494	2	421	w	a	s	c	s	3	2	1	0
440	222	120	0.75	10700	10494	2	421	w	s	m	c	s	1	1	1	0
455	222	60	1.25	990	1700	4	423	kw	s		c	s	1	1	1	0
435	223	60	0.9	2100	1825	5	501	kw	s		c	s	1		1	0
	224	16	1	1625	1376	5	417	kw	s		0	s	1	2	1	0
715	225	120	0.75	360	490	3	415	w	a	m	c	s	4		1	0
305	226	420	0.85	6570	6470	4	423	w	s	m	0	sd	3	2		1
740	227	60	0.5	990	1700	4	423	kw	b		c		5			0
610	228	60	0.5	6963	5785	3	429	w	b	m	c	s	3	2	1	0
620	229	1140	0.6	8160	5060	1	427	w	b	m	c	f	3	1	0	0
652	229	1100	0.5	1610	6260	1	504	w	b	m	c	f	5	1	0	0
655	229	1400	1.25	6080	4780	4	507	w	b	m	c	f	3	1	0	0
655	229	960	0.65	15940	15455	5	424	w	b	m	c	f	3	1	0	0
700	229	1300	0.5	7694	9050	4	430	w	b	m	c	f	3	1	0	0
700	229	1440	0.75	11875	9655	4	416	w	b	m	c	f	1	1	0	0
709	229	1140	0.75	10700	10494	2	421	w	b	m	c	f	1	1	0	0
715	229	1140	0.75	7049	5535	1	413	w	b	m	c	f	3	1	0	0
	230	10	1.25	1460	670	4	416	kw			0					0
450	231	60	1.15	990	1700	4	423	kw	a		c	s	1	2	1	0
730	232	150	0.6	2390	945	5	424	kw	a		c	f	4		0	0
710	233	60	0.6	8160	5060	1	427	w	b	m	c	f	3	1	0	0
450	234	60	0.5	6963	5785	3	429	w	s	m	c	s	3	1	1	0
810	235	120	0.75	11875	9655	4	416	w	b	m	c		1			0
457	236	60	1.1	390	230	1	427	kw	a		0	s	3	1	1	0
505	236	60	1.25	990	1700	4	423	kw	a		0	s	1	1	1	0
505	236	50	1.1	1115	840	1	413	kw	a		0	s	3	1	1	0
515	236	47	1.1	1625	1376	5	417	kw	a		0	s	3	1	1	0
446	237	60	0.75	10700	10494	2	421	w	s	m	c	s	3	1	1	0
315	238	60	0.7	8160	5060	1	427	w	s	m	0	s	3	3	1	1
330	238	60	0.85	3900	6050	5	417	w	s	m	0	s	2	3	1	1
342	238	60	0.65	7694	9050	4	430	w	s	m	0	s	2	3	1	1
330	238	60	1.25	990	1700	4	423	kw	s		0	s	3	3	1	1
350	238	60	1.1	1115	840	1	413	kw	s		0	s	1	3	1	1
550	239	120	0.75	10700	10494	2	421	w	a	s	c	s	3		1	0
600	240	100	1	3940	4118	3	422	w	s	lm	c	s	3	1	1	0
606	240	100	0.25	11370	8520	5	501	w	s	m	c	s	4	1	1	0
300	241	600		3900	6050	5	417	w	s	m	0		2			0
325	241	960	0.78	6570	6470	4	423	w	s	m	0		3			0
330	241	750	0.25	7694	9050	4	430	w	s	l	0		5			0
400	241	600	0.5	1676	3300	2	428	w	s		0					0
420	241	1200		10700	10494	2	421	w	s	s	0		3			0
450	242	100	1.25	6080	4780	4	507	w	s	m	c	s	3	1	1	0
530	243	120	0.75	10700	10494	2	421	w	s	s	0	s	3	1	1	1
715	243	120	0.9	3940	4118	3	422	w	s	s	0	s	1	1	1	1
	243	50	2	120	170	5	508	kw	s		0	s	3	1	1	1
355	244	60	1.75	4020	3420	5	508	w	s	m	0	s	3	1	1	0
409	244	60	0.4	11370	8520	5	501	w	s	m	0	s	3	1	1	0
530	244	130	0.75	11875	9655	4	416	w	s	m	0	s	1	1	1	0
545	244	60	1	3940	4118	3	422	w	s	s	0	s	1	1	1	0
409	244	60	0.9	2100	1825	5	501	kw	s		0	s	1	1	1	0
450	245	50	0.85	15940	15455	5	424	w	s	m	0	s	1	1	1	0
450	246	420	1.25	6080	4780	4	507	w	s	m	0	s	3	3	1	1
455	246	600	0.75	11875	9655	4	416	w	s	m	0	s	1	3	1	1
505	246	300	0.65	1610	6260	1	504	w	s	m	0	s	3	3	1	1
505	246	200	0.75	1610	6260	1	504	w	s	lm	0	s	4	3	1	1
510	246	600	0.75	8160	5060	1	427	w	s	m	0	s	3	3	1	1
515	246	420	0.85	10700	10494	2	421	w	s	m	0	s	1	3	1	1
515	246	300	0.45	7694	9050	4	430	w	s	m	0	s	2	3	1	1
520	246	600	0.95	7049	5535	1	413	w	s	m	0	s	3	3	1	1
601	246	600	0.88	6570	6470	4	423	w	s	m	0	s	3	3	1	1
450	246	300	1.5	875	1050	4	507	kw	s		0	s	3	3	1	1
520	246	570	1.3	1115	840	1	413	kw	s		0	s	1	3	1	1
	247	60	1.1	1460	670	4	416	kw	s		0	r	3	1		0
630	247	60	1.5	495	425	3	506	kw	s		0	r	3	1		0
700	247	60	1	1182	480	3	429	kw	s		0	r	1	1		0
650	247	60	1.1	180	60	3	422	kw	s		0	r	3	1		0
750	248	60	0.75	1460	670	4	416	kw	s		c	s	4	1	1	0
756	249	60	0.5	15940	15455	5	424	w	s	m	c		2			0
355	250	480	1.75	4020	3420	5	508	w	s	m	0	d	3	2		0
517	250	200	1	1320	1290	2	505	w	s	lm	0	d	3	2		0
425	250	1100	0.85	2100	1825	5	501	kw	s		0	d	3	2		0
430	250	150	1.1	1625	1376	5	417	kw	s		0	d	3	2		0
440	250	60	1.25	220	170	2	505	kw	s		0	d	1	2		0
500	250	120	1	985	540	2	421	kw	s		0	d	3	2		0
504	250	500	1.1	1625	1376	5	417	kw	s		0	d	3	2		0
532	250	180	1.1	990	1700	4	423	kw	s		0	d	3	2		0
532	250	60	1.25	990	1700	4	423	kw	s		0	d	1	2		0
	251	20	1.5	4020	3420	5	508	w	s	m	0	s	3	1	1	0
440	251	60	0.75	11875	9655	4	416	w	s	m	0	s	1	1	1	0
	252	65	1	335	185	4	430	kw	a		c	s	1		1	0
445	252	120	1.1	1115	840	1	413	kw	a		c	s	3		1	0
332	253	60	1.5	875	1050	4	507	kw	a		c	s	3	1	1	0
	254	120	0.6	15940	15455	5	424	w	a		c	s		1	1	0
432	254	60	1.75	4020	3420	5	508	w	a	m	c	s	3	1	1	0
616	254	150	0.85	3900	6050	5	417	w	a	m	c	s	2	1	1	0
550	254	60	1.5	495	425	3	506	kw	a		c	s	3	1	1	0
715	255	60	0.75	10700	10494	2	421	w	a	s	c		3			0
830	256	75	0.75	2390	945	5	424	kw	a		c		1			0
415	257	300	1.75	4020	3420	5	508	w	a	m	c	s	3	1	1	0
730	257	720	0.75	11875	9655	4	416	w	a	m	c	s	1	1	1	0
	258	100		3900	6050	5	417	w								0
