time	cusn	quan	pric	totr	tots	dayw	date	type	ethn	size	cash	estb	qual	loct	stor	phon
555	23	300	0.5	15940	15455	5	424	w	a	m	c	s	3	1	1	0
555	23	300	0.65	15940	15455	5	424	w	a	lm	c	s	3	1	1	0
645	23	600	0.6	11875	9655	4	416	w	a	m	c	s	1	1	1	0
700	23	1000	0.4	7694	9050	4	430	w	a	lm	c	s	4	1	1	0
800	23	800	0.75	3900	6050	5	417	w	a		c	s		1	1	0
540	24	400	0.7	200	2260	2	414	w	a	lm	c	f	4		0	0
540	24	450	0.7	0	60	2	414	kw	a		c	f	4		0	0
	25	60		15940	15455	5	424	w	s		0	s		1	1	0
409	25	60	0.65	1610	6260	1	504	w	s	m	0	s	3	1	1	0
420	25	100	1	6570	6470	4	423	w	s	lm	0	s	3	1	1	0
625	25	25	1.25	2305	1450	3	506	w	s	m	0	s	3	1	1	0
635	25	60	0.75	10700	10494	2	421	w	s	m	0	s	1	1	1	0
635	25	60	0.4	11370	8520	5	501	w	s	m	0	s	3	1	1	0
705	25	60	0.6	8160	5060	1	427	w	s	m	0	s	2	1	1	0
420	25	100	1.1	2390	945	5	424	kw	s		0	s	1	1	1	0
445	25	60	1	335	185	4	430	kw	s		0	s	1	1	1	0
530	25	60	0.9	1182	480	3	429	kw	s		0	s	1	1	1	0
555	25	60	1.5	875	1050	4	507	kw	s		0	s	3	1	1	0
625	25	25	1.25	495	425	3	506	kw	s		0	s	3	1	1	0
640	25	120	0.85	1625	1376	5	417	kw	s		0	s	3	1	1	0
425	26	600	1.75	4020	3420	5	508	w	a	m		s	3	1	1	0
553	27	480	0.5	6963	5785	3	429	w	s	m	c	s	3	3	1	0
605	28	30	0.25	1610	6260	1	504	w	a	m	c	s	5	1	1	0
605	28	50	0.25	1610	6260	1	504	w	a	lm	c	s	4	1	1	0
705	28	50	1.25	6080	4780	4	507	w	a	m	c	s	3	1	1	0
611	29	240	0.85	6570	6470	4	423	w	a	m	c	s	3	2	1	0
615	29	240	0.75	10700	10494	2	421	w	a	s	c	s	3	2	1	0
625	29	120	0.85	3940	4118	3	422	w	a	s	c	s	1	2	1	0
631	30	240	0.85	3940	4118	3	422	w	a	s	c	s	1		1	0
433	31	65	1.1	335	260	2	428	kw	s		c	s	1	2	1	0
440	31	60	1.5	875	1050	4	507	kw	s		c	s	3	2	1	0
420	32	100	0.75	1610	6260	1	504	w	a	lm	c	s	4		1	0
501	33	360	0.75	10700	10494	2	421	w	a	m	c	s	1	1	1	0
710	34	60	0.85	1182	480	3	429	kw	a		c	s	1	1	1	0
632	35	100	0.8	3900	6050	5	417	w	a	m	c	s	2		1	0
705	35	100	0.75	15940	15455	5	424	w	a	m	c	s	1		1	0
815	35	60	0.75	11875	9655	4	416	w	a	m	c	s	1		1	0
635	36	120	0.85	3940	4118	3	422	w	a	s	c	s	1		1	0
705	36	50	1.25	6080	4780	4	507	w	a	m	c	s	3		1	0
	37	100	0.8	1115	840	1	413	w	s		0	s			1	0
	37	150	0.6	1676	3300	2	428	w	s		0	s			1	0
814	37	180	0.5	15940	15455	5	424	w	s	m	0	s	2		1	0
816	37	60	0.85	2390	945	5	424	kw	s		0	s	3		1	0
	37	120	0.65	8160	5060	1	427		s		0	s			1	0
435	38	60	1.75	4020	3420	5	508	w	a	m	c	f	3	1	0	0
645	39	50	1.25	6080	4780	4	507	w	a	m	c	s	3	1	1	0
550	39	60	1.5	495	425	3	506	kw	a		c	s	3	1	1	0
550	40	120	2	4020	3420	5	508	w	s	m	c	s	3	2	1	0
640	41	120	0.75	11875	9655	4	416	w	s	m	c	s	1		1	0
655	41	60	1.1	1460	670	4	416	kw	s		c	s	3		1	0
525	42	100	1.25	6080	4780	4	507	w	s	m	0	s	3		1	0
540	42	120	0.5	7694	9050	4	430	w	s	m	0	s	2		1	0
635	42	60	0.65	1610	6260	1	504	w	s	m	0	s	3		1	0
645	42	100	0.85	7049	5535	1	413	w	s	l	0	s	3		1	0
715	42	120	0.65	8160	5060	1	427	w	s	m	0	s	2		1	0
735	42	120	0.75	15940	15455	5	424	w	s	m	0	s	3		1	0
735	42	60	1	2390	945	5	424	kw	s		0	s	1		1	0
